UID,composite_ID,test,congruence,theta,se,TSVR_hours,TSVR_sq,TSVR_log
A023,A023_2,2,congruent,0.00037100315,0.2036301722131973,25.63,656.8969,3.282038399825841
A023,A023_2,2,incongruent,0.13834298,0.2502669460427529,25.63,656.8969,3.282038399825841
A023,A023_3,3,common,0.3662185,0.2040954520165139,72.2,5212.84,4.293195420967266
A023,A023_3,3,congruent,0.2505726,0.2036301722131973,72.2,5212.84,4.293195420967266
A023,A023_3,3,incongruent,0.17064363,0.2502669460427529,72.2,5212.84,4.293195420967266
A023,A023_4,4,common,0.71496123,0.2040954520165139,145.07,21045.3049,4.984085958862719
A023,A023_4,4,congruent,0.4658452,0.2036301722131973,145.07,21045.3049,4.984085958862719
A023,A023_4,4,incongruent,-0.75402296,0.2502669460427529,145.07,21045.3049,4.984085958862719
A024,A024_1,1,common,0.5069578,0.2040954520165139,1.0,1.0,0.6931471805599453
A024,A024_1,1,congruent,0.46433234,0.2036301722131973,1.0,1.0,0.6931471805599453
A024,A024_1,1,incongruent,-0.12641415,0.2502669460427529,1.0,1.0,0.6931471805599453
A024,A024_2,2,common,0.21727693,0.2040954520165139,29.57,874.3849,3.420019135902743
A024,A024_2,2,congruent,0.3702603,0.2036301722131973,29.57,874.3849,3.420019135902743
A024,A024_2,2,incongruent,0.44131547,0.2502669460427529,29.57,874.3849,3.420019135902743
A024,A024_3,3,common,0.19321215,0.2040954520165139,91.47,8366.7609,4.526884267589547
A024,A024_3,3,congruent,0.47114214,0.2036301722131973,91.47,8366.7609,4.526884267589547
A024,A024_3,3,incongruent,-0.84163266,0.2502669460427529,91.47,8366.7609,4.526884267589547
A024,A024_4,4,common,-0.9185011,0.2040954520165139,145.65,21213.9225,4.9880487954234605
A024,A024_4,4,congruent,-1.0808294,0.2036301722131973,145.65,21213.9225,4.9880487954234605
A024,A024_4,4,incongruent,-1.2303108,0.2502669460427529,145.65,21213.9225,4.9880487954234605
A025,A025_1,1,common,1.3585589,0.2040954520165139,1.0,1.0,0.6931471805599453
A025,A025_1,1,congruent,0.9314269,0.2036301722131973,1.0,1.0,0.6931471805599453
A025,A025_1,1,incongruent,0.8425641,0.2502669460427529,1.0,1.0,0.6931471805599453
A025,A025_2,2,common,1.4686452,0.2040954520165139,23.33,544.2888999999999,3.1917101567954314
A025,A025_2,2,congruent,1.4680771,0.2036301722131973,23.33,544.2888999999999,3.1917101567954314
A025,A025_2,2,incongruent,1.3631858,0.2502669460427529,23.33,544.2888999999999,3.1917101567954314
A025,A025_3,3,common,-0.56886774,0.2040954520165139,72.94,5320.2436,4.303253953508486
A025,A025_3,3,congruent,0.64839166,0.2036301722131973,72.94,5320.2436,4.303253953508486
A025,A025_3,3,incongruent,-0.731837,0.2502669460427529,72.94,5320.2436,4.303253953508486
A025,A025_4,4,common,-0.28352395,0.2040954520165139,137.74,18972.307600000004,4.932601677957155
A025,A025_4,4,congruent,-0.519992,0.2036301722131973,137.74,18972.307600000004,4.932601677957155
A025,A025_4,4,incongruent,-1.083449,0.2502669460427529,137.74,18972.307600000004,4.932601677957155
A026,A026_1,1,common,0.3307771,0.2040954520165139,1.0,1.0,0.6931471805599453
A026,A026_1,1,congruent,1.052326,0.2036301722131973,1.0,1.0,0.6931471805599453
A026,A026_1,1,incongruent,0.91934425,0.2502669460427529,1.0,1.0,0.6931471805599453
A026,A026_2,2,common,-0.49671382,0.2040954520165139,26.48,701.1904000000001,3.3134584673541485
A026,A026_2,2,congruent,1.1417555,0.2036301722131973,26.48,701.1904000000001,3.3134584673541485
A026,A026_2,2,incongruent,0.35216007,0.2502669460427529,26.48,701.1904000000001,3.3134584673541485
A026,A026_3,3,common,0.38183588,0.2040954520165139,75.46,5694.211599999999,4.336767728268267
A026,A026_3,3,congruent,0.5711818,0.2036301722131973,75.46,5694.211599999999,4.336767728268267
A026,A026_3,3,incongruent,0.71996987,0.2502669460427529,75.46,5694.211599999999,4.336767728268267
A026,A026_4,4,common,-0.31976095,0.2040954520165139,147.65,21800.522500000003,5.001594549444107
A026,A026_4,4,congruent,0.031037604,0.2036301722131973,147.65,21800.522500000003,5.001594549444107
A026,A026_4,4,incongruent,-1.0002902,0.2502669460427529,147.65,21800.522500000003,5.001594549444107
A027,A027_1,1,common,0.11659646,0.2040954520165139,1.0,1.0,0.6931471805599453
A027,A027_1,1,congruent,-0.21582684,0.2036301722131973,1.0,1.0,0.6931471805599453
A027,A027_1,1,incongruent,0.78085047,0.2502669460427529,1.0,1.0,0.6931471805599453
A027,A027_2,2,common,0.4943781,0.2040954520165139,28.26,798.6276000000001,3.3762213955919784
A027,A027_2,2,congruent,1.2876928,0.2036301722131973,28.26,798.6276000000001,3.3762213955919784
A027,A027_2,2,incongruent,0.63387907,0.2502669460427529,28.26,798.6276000000001,3.3762213955919784
A027,A027_3,3,common,-0.19422647,0.2040954520165139,74.58,5562.176399999999,4.325191697921343
A027,A027_3,3,congruent,-1.4970652,0.2036301722131973,74.58,5562.176399999999,4.325191697921343
A027,A027_3,3,incongruent,-0.69031215,0.2502669460427529,74.58,5562.176399999999,4.325191697921343
A027,A027_4,4,common,-0.37611485,0.2040954520165139,145.92,21292.646399999998,4.989888220951467
A027,A027_4,4,congruent,-0.18628831,0.2036301722131973,145.92,21292.646399999998,4.989888220951467
A027,A027_4,4,incongruent,-0.34647793,0.2502669460427529,145.92,21292.646399999998,4.989888220951467
A028,A028_1,1,common,1.2873914,0.2040954520165139,1.0,1.0,0.6931471805599453
A028,A028_1,1,congruent,1.7882669,0.2036301722131973,1.0,1.0,0.6931471805599453
A028,A028_1,1,incongruent,2.1591334,0.2502669460427529,1.0,1.0,0.6931471805599453
A028,A028_2,2,common,0.16587129,0.2040954520165139,22.82,520.7524,3.170525563927154
A028,A028_2,2,congruent,-1.1513634,0.2036301722131973,22.82,520.7524,3.170525563927154
A028,A028_2,2,incongruent,0.23352933,0.2502669460427529,22.82,520.7524,3.170525563927154
A028,A028_3,3,common,-0.10012718,0.2040954520165139,72.26,5221.507600000001,4.294014757350668
A028,A028_3,3,congruent,0.62668526,0.2036301722131973,72.26,5221.507600000001,4.294014757350668
A028,A028_3,3,incongruent,0.5119805,0.2502669460427529,72.26,5221.507600000001,4.294014757350668
A028,A028_4,4,common,-0.75935185,0.2040954520165139,138.91,19295.9881,4.940999358745194
A028,A028_4,4,congruent,-0.28837475,0.2036301722131973,138.91,19295.9881,4.940999358745194
A028,A028_4,4,incongruent,-0.785788,0.2502669460427529,138.91,19295.9881,4.940999358745194
A029,A029_1,1,common,2.7173743,0.2040954520165139,1.0,1.0,0.6931471805599453
A029,A029_1,1,congruent,1.8895662,0.2036301722131973,1.0,1.0,0.6931471805599453
A029,A029_1,1,incongruent,2.340582,0.2502669460427529,1.0,1.0,0.6931471805599453
A029,A029_2,2,common,0.20266943,0.2040954520165139,28.43,808.2649,3.382014562245381
A029,A029_2,2,congruent,-0.9637135,0.2036301722131973,28.43,808.2649,3.382014562245381
