domain_name,age_tertile,TSVR_hours,theta_observed,se_observed,ci_lower,ci_upper,theta_predicted
When,Older,74.3,-0.47990027,,,,0.2663360990733883
When,Older,74.46,,,,,
When,Older,74.48,,,,,
When,Older,74.58,,,,,
When,Older,74.88,-0.19740665,,,,-0.6287886011512476
When,Older,74.91,-0.43399978,,,,0.8655687135423084
When,Older,75.21,-0.45515946,,,,-0.584215818072923
When,Older,75.27,-0.6858174,,,,0.07240207568095683
When,Older,75.34,-0.28128785,,,,0.2187407664859921
When,Older,75.46,,,,,
When,Older,75.71,-0.12800583,,,,0.33233306864272
When,Older,75.74,,,,,
When,Older,76.21,0.37761584,,,,-0.3263076432096287
When,Older,76.85,,,,,
When,Older,78.25,,,,,
When,Older,78.28,,,,,
When,Older,78.36,,,,,
When,Older,78.57,-0.20056172,,,,0.19816484235849205
When,Older,78.76,-0.2971133,,,,-0.11855114265166307
When,Older,78.84,1.3599656,,,,0.3256817177037822
When,Older,79.34,-0.14985779,,,,0.44074000385352075
When,Older,79.66,,,,,
When,Older,79.75,,,,,
When,Older,79.78,,,,,
When,Older,79.96,,,,,
When,Older,79.98,,,,,
When,Older,80.13,-0.42852363,,,,0.20547862000245107
When,Older,80.16,,,,,
When,Older,80.24,0.325334,,,,-0.3726263573364618
When,Older,80.64,,,,,
When,Older,80.88,,,,,
When,Older,80.98,,,,,
When,Older,81.15,,,,,
When,Older,81.92,,,,,
When,Older,82.55,,,,,
When,Older,82.98,,,,,
When,Older,82.99,,,,,
When,Older,83.54,,,,,
When,Older,83.64,,,,,
When,Older,83.68,,,,,
When,Older,91.47,,,,,
When,Older,91.63,,,,,
When,Older,91.97,-0.4267936,,,,-0.016631502078750783
When,Older,92.72,,,,,
When,Older,93.26,,,,,
When,Older,93.39,,,,,
When,Older,94.68,,,,,
When,Older,95.42,-0.8909199,,,,-0.5424304935180947
When,Older,98.84,,,,,
When,Older,106.41,,,,,
When,Older,111.38,,,,,
When,Older,136.83,,,,,
When,Older,137.74,,,,,
When,Older,138.91,,,,,
When,Older,140.08,,,,,
When,Older,140.12,,,,,
When,Older,140.22,,,,,
When,Older,140.39,,,,,
When,Older,140.49,,,,,
When,Older,140.95,-0.32164475,,,,0.5973543037226383
When,Older,141.09,,,,,
When,Older,141.71,,,,,
When,Older,141.84,,,,,
When,Older,142.61,1.381451,,,,-0.01846473080812462
When,Older,143.14,,,,,
When,Older,143.48,,,,,
When,Older,143.51,-0.69252235,,,,0.22497087712301334
When,Older,143.53,,,,,
When,Older,143.66,-0.5943314,,,,-0.8561745771356069
When,Older,143.85,,,,,
When,Older,143.91,,,,,
When,Older,144.07,-0.34045273,,,,-0.6007198462427104
When,Older,144.19,,,,,
When,Older,144.2,-0.18968214,,,,0.28777362414299223
When,Older,144.22,,,,,
When,Older,144.51,,,,,
When,Older,144.85,1.2515274,,,,0.4103891663570206
When,Older,144.91,0.34402838,,,,0.23261075167700854
When,Older,145.06,,,,,
When,Older,145.07,,,,,
When,Older,145.29,-0.2446419,,,,-0.16848547881142442
When,Older,145.31,,,,,
When,Older,145.38,,,,,
When,Older,145.65,,,,,
When,Older,145.77,-0.5906437,,,,0.07717429935242984
When,Older,145.78,-0.3772499,,,,-0.32201432432436766
When,Older,145.92,,,,,
When,Older,145.95,-0.233869,,,,-0.4921543332911929
When,Older,146.02,,,,,
When,Older,146.16,-0.43719628,,,,-0.42214967008217663
When,Older,146.2,-0.50990736,,,,0.1827921242515768
When,Older,146.29,-0.4772023,,,,0.3637858566555061
When,Older,146.3,,,,,
When,Older,146.54,,,,,
When,Older,146.56,,,,,
When,Older,146.8,-0.22473392,,,,0.26691048005546997
When,Older,146.96,-0.28080377,,,,0.34954538577292094
When,Older,146.99,,,,,
When,Older,147.13,-0.28151542,,,,0.6270196788412065
When,Older,147.21,0.10373091,,,,-0.3946521627897137
When,Older,147.65,,,,,
When,Older,147.84,,,,,
When,Older,147.94,,,,,
When,Older,148.69,,,,,
When,Older,148.79,-0.4209291,,,,-0.23341809604278818
When,Older,148.85,,,,,
When,Older,148.87,,,,,
When,Older,148.9,,,,,
When,Older,149.18,,,,,
When,Older,149.2,,,,,
When,Older,149.21,,,,,
When,Older,149.28,1.5284538,,,,-0.5398609226202685
