TSVR_hours,domain,theta,predicted_theta,UID
144.22,what,-1.2736783,-0.4151482696633335,A047
144.51,what,1.4961241,-0.41605774015370955,A032
144.85,what,-0.38724306,-0.41712202479087646,A097
144.91,what,-0.46616986,-0.4173096172411763,A083
145.06,what,-0.4786676,-0.4177783069880998,A057
145.07,what,-0.36299026,-0.41780953818387534,A023
145.29,what,-1.3221629,-0.4184961575410002,A086
145.31,what,1.4082963,-0.4185585332305264,A010
145.38,what,-0.51218176,-0.4187767901339594,A034
145.65,what,-0.8740546,-0.41961779409921185,A024
145.77,what,-0.38689852,-0.4199911440961872,A080
145.78,what,-1.8937365,-0.4200222446829269,A020
145.78,what,-1.6218024,-0.4200222446829269,A104
145.92,what,-0.7473746,-0.42045746066029754,A027
145.95,what,-1.0003569,-0.4205506745737224,A107
146.02,what,-1.060709,-0.4207681097315772,A042
146.16,what,-1.7983118,-0.4212027116114325,A092
146.2,what,0.49442884,-0.42132681790210214,A105
146.29,what,-0.22831552,-0.42160595044706284,A098
146.3,what,-0.41433746,-0.4216369560673907,A048
146.54,what,-0.02934593,-0.4223805452684073,A015
146.56,what,0.4611628,-0.42244246379222194,A061
146.8,what,-0.06722808,-0.42318492026968557,A100
146.96,what,0.4475206,-0.4236793118893478,A089
146.99,what,0.13951796,-0.4237719588048463,A051
147.13,what,-0.4656096,-0.4242040962636173,A013
147.13,what,1.9476776,-0.4242040962636173,A106
147.21,what,-1.5365437,-0.4244508732553025,A074
147.65,what,-0.050407227,-0.4258060889146271,A026
147.84,what,-0.7323073,-0.42639022207928545,A056
147.94,what,-1.1430976,-0.4266974012206639,A046
148.69,what,-0.48715395,-0.4289955661139693,A050
148.79,what,0.7672782,-0.4293012337219171,A095
148.85,what,-0.03306195,-0.429484549385565,A011
148.87,what,-0.6996891,-0.42954564046641774,A014
148.9,what,0.5542387,-0.42963726383673007,A053
149.18,what,-0.3356112,-0.4304916494782052,A062
149.2,what,-0.67360896,-0.430552624154781,A070
149.21,what,-0.31431788,-0.43058310885276163,A055
149.28,what,-2.140476,-0.43079645247184684,A076
149.33,what,-0.12630613,-0.43094878801175796,A043
149.72,what,-0.89320856,-0.4321354992583186,A103
149.75,what,0.846462,-0.4322266743604919,A077
149.87,what,-1.1848431,-0.432591217412466,A109
149.93,what,0.16464782,-0.4327733946004342,A088
149.99,what,-1.3540277,-0.4329555089542363,A094
150.22,what,-1.6442014,-0.4336530326683319,A101
150.41,what,0.10194793,-0.4342285537082007,A102
150.46,what,0.66448706,-0.4343799024096764,A030
150.8,what,-1.2509964,-0.43540792467690403,A016
150.87,what,0.675922,-0.4356193280874303,A018
151.52,what,-1.9204704,-0.4375783282357728,A045
151.93,what,0.62250775,-0.4388102775020084,A059
152.12,what,-1.0050039,-0.4393802076248472,A108
152.47,what,-0.835791,-0.4404284712433708,A035
152.89,what,0.017764084,-0.44168364666303317,A038
153.27,what,-0.5592403,-0.4428167162206438,A052
153.27,what,0.075789735,-0.4428167162206438,A071
154.53,what,0.7930925,-0.4465564331812337,A081
154.76,what,-0.2041359,-0.4472362303507953,A019
154.89,what,-0.062096268,-0.44762007673962234,A072
155.27,what,-0.98223126,-0.4487404919481963,A044
155.59,what,-0.3118221,-0.44968215896249286,A068
156.21,what,-0.35031673,-0.45150187355382365,A064
162.51,what,-0.04114674,-0.4696453706853949,A084
164.93,what,-0.2672553,-0.47645233002935505,A066
166.33,what,2.2870164,-0.48035054050953363,A012
166.87,what,-0.62503695,-0.4818464781001992,A012
