UID,test,composite_ID,TSVR_hours,z_theta_accuracy,z_theta_confidence,calibration
A034,T2,A034_T2,26.08,0.6896176439410955,1.7115548565338832,1.0219372125927877
A034,T3,A034_T3,74.28,-0.11333985189870867,1.0211395250254662,1.134479376924175
A034,T4,A034_T4,145.38,-0.1709805076527278,-0.2958355949381422,-0.12485508728541442
A035,T1,A035_T1,1.0,-0.07518144230145055,0.48399452873869353,0.559175971040144
A035,T2,A035_T2,44.76,0.7800844912980682,0.49852736138417564,-0.2815571299138926
A035,T3,A035_T3,79.98,-0.53215469602946,-0.4242406511501612,0.10791404487929879
A035,T4,A035_T4,152.47,-1.0548746022893687,-0.8479093358326562,0.20696526645671254
A036,T1,A036_T1,1.0,1.4006049408487524,-1.4632722269613798,-2.8638771678101325
A036,T2,A036_T2,21.63,-0.16801862454039165,-0.9126388598627221,-0.7446202353223305
A036,T3,A036_T3,71.47,-0.42752404928587184,-1.8750255252424535,-1.4475014759565816
A036,T4,A036_T4,143.85,-1.0765663566164214,-2.1451396767170285,-1.0685733201006071
A037,T1,A037_T1,1.0,1.2435801463649347,1.2622703348053423,0.018690188440407596
A037,T2,A037_T2,23.7,1.319950270790195,1.0381761376739167,-0.2817741331162782
A037,T3,A037_T3,72.08,0.3045347566059729,-0.11747989288620812,-0.42201464949218104
A037,T4,A037_T4,143.66,-0.18241294362617672,-0.3770822533011402,-0.1946693096749635
A038,T1,A038_T1,1.0,1.2709227000673329,0.8929357325423334,-0.3779869675249995
A038,T2,A038_T2,71.85,-0.18505262246619336,0.42659168912073925,0.6116443115869326
A038,T3,A038_T3,72.86,1.0176032562477586,0.5303878422184883,-0.48721541402927027
A038,T4,A038_T4,152.89,-0.025050603726326653,0.909473268508282,0.9345238722346086
A039,T1,A039_T1,1.0,2.2971283709234847,1.79046648554415,-0.5066618853793345
A039,T2,A039_T2,28.65,1.3734253113214028,1.7406203321498013,0.3671950208283985
A039,T3,A039_T3,98.84,0.5948059118025113,1.13392312948241,0.5391172176798986
A039,T4,A039_T4,246.24,0.7594293923526958,0.2580659194685115,-0.5013634728841843
A040,T1,A040_T1,1.0,-0.5435394729740699,0.07989087133251845,0.6234303443065884
A040,T2,A040_T2,26.26,0.14358352128323504,0.43220845299148164,0.2886249317082466
A040,T3,A040_T3,71.28,-1.7892607874370556,-0.22777655678330824,1.5614842306537473
A040,T4,A040_T4,143.53,-1.7141541198621224,0.38250005919531166,2.0966541790574342
A041,T1,A041_T1,1.0,1.2607230958603317,1.4896638021441104,0.22894070628377872
A041,T2,A041_T2,31.78,-1.2498242464087106,0.760624665720656,2.0104489121293665
A041,T3,A041_T3,75.74,0.29773507696530205,0.7986851611927338,0.5009500842274317
A041,T4,A041_T4,141.84,0.13016777479292804,0.11747567566742284,-0.012692099125505202
A042,T1,A042_T1,1.0,-0.939411849606413,-0.3805803469059819,0.5588315027004311
A042,T2,A042_T2,28.93,-1.0579366022013394,-1.1778825262488843,-0.1199459240475449
A042,T3,A042_T3,72.17,-0.18811395500345504,-0.49642750406317543,-0.3083135490597204
A042,T4,A042_T4,146.02,-1.3420256641944843,-0.3221374172329344,1.01988824696155
A043,T1,A043_T1,1.0,1.089811081137255,2.158078005668073,1.0682669245308178
A043,T2,A043_T2,25.62,0.5938296379421426,1.8486726683760129,1.2548430304338702
A043,T3,A043_T3,64.94,0.5962784052423202,1.0604697792762452,0.46419137403392496
A043,T4,A043_T4,149.33,-0.3954062706401479,0.17110837677587726,0.5665146474160252
A044,T1,A044_T1,1.0,-0.10064037855665124,-1.0109187537331041,-0.9102783751764529
A044,T2,A044_T2,47.66,-0.4020322633644277,-0.7692469537117398,-0.3672146903473121
A044,T3,A044_T3,91.63,-1.3922429627521775,-1.2835481813689347,0.10869478138324284
A044,T4,A044_T4,155.27,-1.9103321995494305,-2.1576170564016377,-0.24728485685220725
A045,T1,A045_T1,1.0,-0.961819749962723,-0.5540264954362101,0.40779325452651294
A045,T2,A045_T2,24.66,-1.081042640063007,-0.056555111496019494,1.0244875285669877
A045,T3,A045_T3,72.23,-1.1974849081406334,-0.9674988973066206,0.2299860108340127
A045,T4,A045_T4,151.52,-1.3282016856538625,-0.08959673585269914,1.2386049498011633
A046,T1,A046_T1,1.0,-0.8209402327502409,-0.06502710935165161,0.7559131233985893
A046,T2,A046_T2,24.32,-1.3873262119974958,-0.8497065300263741,0.5376196819711218
A046,T3,A046_T3,73.05,-1.7271527783456555,-1.9250213229958022,-0.1978685446501467
A046,T4,A046_T4,147.94,-1.2296037461112925,-2.1620725694987595,-0.932468823387467
A047,T1,A047_T1,1.0,-0.7974739608510768,0.12678420987004596,0.9242581707211228
A047,T2,A047_T2,23.46,-0.5516529485859933,-0.3914359818145953,0.16021696677139802
A047,T3,A047_T3,76.85,-1.3232231762554534,-1.7371703956073712,-0.4139472193519178
A047,T4,A047_T4,144.22,-1.701687666226082,-2.4418215193865005,-0.7401338531604185
A048,T1,A048_T1,1.0,1.1337538921706978,0.7754323421342828,-0.35832155003641497
A048,T2,A048_T2,23.91,-0.07030761539314725,0.3804777068431086,0.4507853222362559
A048,T3,A048_T3,81.15,0.14475363042026396,0.18325884457905345,0.03850521415878949
A048,T4,A048_T4,146.3,0.09530087844812206,0.035865211313398496,-0.05943566713472356
A049,T1,A049_T1,1.0,2.2191979668010275,1.498609654527322,-0.7205883122737056
A049,T2,A049_T2,27.12,-0.5702145460347382,0.2835768893451197,0.8537914353798579
A049,T3,A049_T3,111.38,0.3940147368532242,0.9011189154434919,0.5071041785902677
A049,T4,A049_T4,168.86,0.029673363954395775,0.18344164968759122,0.15376828573319545
A050,T1,A050_T1,1.0,-0.4289929516141503,0.6954187797514243,1.1244117313655746
A050,T2,A050_T2,24.73,-0.762615560292252,0.40132484490723475,1.1639404051994866
A050,T3,A050_T3,93.39,-0.9876791428232135,-0.5991545838335296,0.38852455898968385
A050,T4,A050_T4,148.69,-1.2121901390949277,-0.4441963164972121,0.7679938225977156
A051,T1,A051_T1,1.0,1.6068883448238203,1.151168592861594,-0.45571975196222625
A051,T2,A051_T2,17.16,-0.33254520863874476,1.2465559191465325,1.5791011277852773
A051,T3,A051_T3,65.63,-0.6972526058451661,-0.1896017473992485,0.5076508584459176
A051,T4,A051_T4,146.99,-0.7692662882537709,-0.1279099386271655,0.6413563496266054
A052,T1,A052_T1,1.0,0.6127065434578783,0.5291626802067441,-0.08354386325113428
