composite_ID,UID,test,residual
A041_3,A041,T3,0.45098380471079397
A041_4,A041,T4,0.3566023612186691
A042_1,A042,T1,-0.9154005695669135
A042_2,A042,T2,-0.20270529690622807
A042_3,A042,T3,0.7454362181504014
A042_4,A042,T4,-0.27187975206186255
A043_1,A043,T1,-0.023827501415777608
A043_2,A043,T2,0.31226881887026614
A043_3,A043,T3,0.44933437833560474
A043_4,A043,T4,-0.4002995883004923
A044_1,A044,T1,-0.09223350017311363
A044_2,A044,T2,0.5224886307956274
A044_3,A044,T3,-0.33328682183360636
A044_4,A044,T4,-0.7716006031880496
A045_1,A045,T1,-0.7336424287164363
A045_2,A045,T2,-0.04844109060265722
A045_3,A045,T3,-0.004399333654869109
A045_4,A045,T4,-0.05265867021658899
A046_1,A046,T1,-0.4864634144076516
A046_2,A046,T2,-0.22578700886451286
A046_3,A046,T3,-0.3889023682601733
A046_4,A046,T4,0.15250371709771304
A047_1,A047,T1,-0.6143349034011382
A047_2,A047,T2,0.40677465580142846
A047_3,A047,T3,-0.1517886002380755
A047_4,A047,T4,-0.4454273543097469
A048_1,A048,T1,0.12579587977433848
A048_2,A048,T2,-0.21845168522239275
A048_3,A048,T3,0.15716784024707647
A048_4,A048,T4,0.16925621170294242
A049_1,A049,T1,0.990494268886073
A049_2,A049,T2,-0.8287978906648185
A049_3,A049,T3,0.26574898977344324
A049_4,A049,T4,-0.040277122024485315
A050_1,A050,T1,-0.4602394007490186
A050_2,A050,T2,0.02305859444341829
A050_3,A050,T3,-0.0074044798193768635
A050_4,A050,T4,-0.1743847095494142
A051_1,A051,T1,0.8743954334971864
A051_2,A051,T2,-0.225323124040997
A051_3,A051,T3,-0.360372067043788
A051_4,A051,T4,-0.3445139177116036
A052_1,A052,T1,-0.17441716863298617
A052_2,A052,T2,0.4650217154973395
A052_3,A052,T3,0.32178327432531206
A052_4,A052,T4,-0.562416369853778
A053_1,A053,T1,0.32478417502869084
A053_2,A053,T2,0.7430075263942333
A053_3,A053,T3,-0.5253761351783686
A053_4,A053,T4,-0.18732765820799038
A054_1,A054,T1,-0.9780744604742495
A054_2,A054,T2,0.3506875776984566
A054_3,A054,T3,0.6404356054333709
