composite_ID,UID,TEST,TSVR_hours,log_TSVR,location,theta
A078_T4,A078,T4,140.08,4.949327105367852,Source,-1.6080743
A079_T1,A079,T1,1.0,0.6931471805599453,Source,-0.3214581
A079_T2,A079,T2,26.11,3.299902663510574,Source,-0.059033513
A079_T3,A079,T3,74.0,4.31748811353631,Source,-0.71068835
A079_T4,A079,T4,194.42,5.275151088516197,Source,-0.85501325
A080_T1,A080,T1,1.0,0.6931471805599453,Source,0.21134722
A080_T2,A080,T2,29.03,3.402196881995239,Source,-0.20075512
A080_T3,A080,T3,72.87,4.302306791540646,Source,-0.6536064
A080_T4,A080,T4,145.77,4.988866735623107,Source,-0.9984222
A081_T1,A081,T1,1.0,0.6931471805599453,Source,-0.014630079
A081_T2,A081,T2,31.39,3.477849733183238,Source,-0.104610205
A081_T3,A081,T3,80.13,4.396052806406973,Source,-0.20947611
A081_T4,A081,T4,154.53,5.046838639056468,Source,-0.9656583
A082_T1,A082,T1,1.0,0.6931471805599453,Source,0.0642319
A082_T2,A082,T2,27.97,3.366260811781259,Source,-0.109985024
A082_T3,A082,T3,75.71,4.3400320779712045,Source,-0.48187196
A082_T4,A082,T4,170.25,5.143124477142335,Source,-0.9638303
A083_T1,A083,T1,1.0,0.6931471805599453,Source,0.115965486
A083_T2,A083,T2,25.15,3.263849190510932,Source,-0.25223792
A083_T3,A083,T3,74.3,4.321480134805848,Source,-0.23575792
A083_T4,A083,T4,144.91,4.982989993275931,Source,-0.6712417
A084_T1,A084,T1,1.0,0.6931471805599453,Source,-1.398021
A084_T2,A084,T2,27.25,3.34109345759245,Source,-1.5269368
A084_T3,A084,T3,91.97,4.532276860467767,Source,-0.8032251
A084_T4,A084,T4,162.51,5.096874150546495,Source,-1.2504457
A085_T1,A085,T1,1.0,0.6931471805599453,Source,0.009534121
A085_T2,A085,T2,24.51,3.23907053215372,Source,0.43711734
A085_T3,A085,T3,71.4,4.282206299391671,Source,0.16515636
A085_T4,A085,T4,170.65,5.145457519903701,Source,-0.41915497
A086_T1,A086,T1,1.0,0.6931471805599453,Source,0.20403749
A086_T2,A086,T2,23.47,3.19744787745458,Source,0.3149156
A086_T3,A086,T3,145.29,4.985590952989995,Source,-0.87440115
A086_T4,A086,T4,169.55,5.139028508864655,Source,-0.9964989
A087_T1,A087,T1,1.0,0.6931471805599453,Source,0.33115876
A087_T2,A087,T2,31.07,3.4679210137050633,Source,-0.1054703
A087_T3,A087,T3,72.8,4.301358731606427,Source,-0.18653458
A087_T4,A087,T4,144.2,4.978112102390695,Source,0.20118752
A088_T1,A088,T1,1.0,0.6931471805599453,Source,0.077822685
A088_T2,A088,T2,24.25,3.228826155721369,Source,-0.090958476
A088_T3,A088,T3,74.91,4.3295484280286765,Source,-0.15303862
A088_T4,A088,T4,149.93,5.016816153171337,Source,-0.092690825
A089_T1,A089,T1,1.0,0.6931471805599453,Source,0.24442697
A089_T2,A089,T2,32.14,3.500741011998417,Source,0.30268687
A089_T3,A089,T3,79.34,4.386267628931136,Source,-0.1558888
A089_T4,A089,T4,146.96,4.996941966964253,Source,-0.14095879
A090_T1,A090,T1,1.0,0.6931471805599453,Source,-1.7046252
A090_T2,A090,T2,23.54,3.2003044392827653,Source,-1.2133199
A090_T3,A090,T3,95.42,4.568713648977476,Source,-1.7288464
A090_T4,A090,T4,144.07,4.977216384550811,Source,-1.8383566
A091_T1,A091,T1,1.0,0.6931471805599453,Source,-0.06817329
A091_T2,A091,T2,22.2,3.1441522786722644,Source,-0.6159316
A091_T3,A091,T3,73.64,4.312676556539088,Source,-1.297504
A091_T4,A091,T4,142.61,4.9671012920725275,Source,-0.45737362
A092_T1,A092,T1,1.0,0.6931471805599453,Source,0.16628128
A092_T2,A092,T2,22.83,3.170945291110651,Source,-0.09658414
A092_T3,A092,T3,71.31,4.28096243218686,Source,-0.5907904
A092_T4,A092,T4,146.16,4.991520430236574,Source,-1.3193048
A093_T1,A093,T1,1.0,0.6931471805599453,Source,0.20957875
A093_T2,A093,T2,22.09,3.139399623366404,Source,-1.2093322
A093_T3,A093,T3,70.22,4.265773677849632,Source,-1.6360039
A093_T4,A093,T4,140.95,4.95547488291898,Source,-1.8417343
A094_T1,A094,T1,1.0,0.6931471805599453,Source,-1.2259504
A094_T2,A094,T2,22.98,3.177220149599368,Source,-1.0553681
A094_T3,A094,T3,76.21,4.3465289823207245,Source,-1.6303165
A094_T4,A094,T4,149.99,5.017213609456379,Source,-1.4738028
A095_T1,A095,T1,1.0,0.6931471805599453,Source,0.16226995
A095_T2,A095,T2,29.71,3.424588334452731,Source,-0.7363977
A095_T3,A095,T3,78.76,4.379022125653583,Source,-0.20635152
A095_T4,A095,T4,148.79,5.009234313180627,Source,-0.9732964
A096_T1,A096,T1,1.0,0.6931471805599453,Source,-0.10050857
A096_T2,A096,T2,24.49,3.238286218388024,Source,-0.34578586
A096_T3,A096,T3,71.19,4.279301532151069,Source,-0.47693783
A096_T4,A096,T4,143.66,4.974386161421135,Source,-0.44960964
A097_T1,A097,T1,1.0,0.6931471805599453,Source,-1.0187418
A097_T2,A097,T2,24.37,3.2335673736111907,Source,-1.8563917
A097_T3,A097,T3,70.83,4.27430221608671,Source,-1.700936
A097_T4,A097,T4,144.85,4.98257869631373,Source,-1.5027418
A098_T1,A098,T1,1.0,0.6931471805599453,Source,0.4312213
A098_T2,A098,T2,25.77,3.2872818575322613,Source,0.036384776
A098_T3,A098,T3,78.84,4.380024632003209,Source,0.3321092
A098_T4,A098,T4,146.29,4.992403432501452,Source,-0.21873945
A099_T1,A099,T1,1.0,0.6931471805599453,Source,-0.10711205
A099_T2,A099,T2,28.75,3.392829131991639,Source,0.106170654
A099_T3,A099,T3,78.57,4.3766371373894435,Source,-0.062931776
A099_T4,A099,T4,143.51,4.973348709310239,Source,0.43014896
A100_T1,A100,T1,1.0,0.6931471805599453,Source,-0.8735585
A100_T2,A100,T2,31.14,3.4701013603093664,Source,-0.82988405
A100_T3,A100,T3,75.34,4.3351970473170836,Source,-1.1911968
A100_T4,A100,T4,146.8,4.995860008514102,Source,-1.6574647
A101_T1,A101,T1,1.0,0.6931471805599453,Source,-0.7027124
A101_T2,A101,T2,29.12,3.405189402931693,Source,-1.3277925
A101_T3,A101,T3,75.21,4.333492687678026,Source,-1.7045931
A101_T4,A101,T4,150.22,5.018735730130124,Source,-1.8163987
A102_T1,A102,T1,1.0,0.6931471805599453,Source,-0.3985268
A102_T2,A102,T2,29.13,3.40552135314221,Source,-0.02649939
A102_T3,A102,T3,75.27,4.3342796761761475,Source,-0.38575232
A102_T4,A102,T4,150.41,5.019991389020281,Source,-0.4196909
A103_T1,A103,T1,1.0,0.6931471805599453,Source,-1.6121315
A103_T2,A103,T2,27.26,3.3414473772563813,Source,-1.4930031
A103_T3,A103,T3,80.24,4.397407736712184,Source,-1.578493
A103_T4,A103,T4,149.72,5.015423810828053,Source,-1.5767274
A104_T1,A104,T1,1.0,0.6931471805599453,Source,0.27913165
A104_T2,A104,T2,22.6,3.1612467120315646,Source,0.30397457
A104_T3,A104,T3,72.62,4.298916727950875,Source,-0.14866999
A104_T4,A104,T4,145.78,4.9889348671169165,Source,-1.2789935
A105_T1,A105,T1,1.0,0.6931471805599453,Source,0.61516607
A105_T2,A105,T2,22.77,3.1684242813721024,Source,0.41612887
A105_T3,A105,T3,69.46,4.255045172913092,Source,-0.3236314
A105_T4,A105,T4,146.2,4.991792206294776,Source,-0.2430712
A106_T1,A106,T1,1.0,0.6931471805599453,Source,-0.03485644
A106_T2,A106,T2,22.64,3.1629401925378975,Source,-0.6778077
A106_T3,A106,T3,66.08,4.205885936955008,Source,-0.17605197
A106_T4,A106,T4,147.13,4.998090266593961,Source,-0.37065715
A107_T1,A107,T1,1.0,0.6931471805599453,Source,-1.6091614
A107_T2,A107,T2,26.22,3.30395199722332,Source,-2.1841025
A107_T3,A107,T3,71.45,4.282896668766692,Source,-1.3234899
A107_T4,A107,T4,145.95,4.990092392864926,Source,-1.6889918
A108_T1,A108,T1,1.0,0.6931471805599453,Source,-0.7909203
A108_T2,A108,T2,27.61,3.3537563070620187,Source,-0.80433625
A108_T3,A108,T3,68.96,4.247923650150401,Source,-0.7921201
A108_T4,A108,T4,152.12,5.031221927704644,Source,-0.76942104
A109_T1,A109,T1,1.0,0.6931471805599453,Source,-1.3589526
A109_T2,A109,T2,24.65,3.2445435716167785,Source,-1.8378288
A109_T3,A109,T3,71.17,4.279024447084182,Source,-0.98674816
A109_T4,A109,T4,149.87,5.016418538851983,Source,-1.5363755
A010_T1,A010,T1,1.0,0.6931471805599453,Destination,0.13693643
A010_T2,A010,T2,21.9,3.131136910560194,Destination,-0.1731106
A010_T3,A010,T3,80.88,4.405254760793088,Destination,-0.446819
A010_T4,A010,T4,145.31,4.985727658390071,Destination,-0.80998075
