UID,test,Theta_All,Prob_simple,Prob_TCC
A050,3,-0.9261868,0.28369897007150113,0.430763800271343
A050,4,-1.1381246,0.2426648530692579,0.3959334059436306
A051,1,1.5230782,0.8209913140275421,0.7714419686215667
A051,2,-0.30774206,0.4236659718704088,0.5317982364705522
A051,3,-0.6520249,0.34253337592266553,0.47593642843828904
A051,4,-0.72000563,0.3273917431690609,0.46475846462032006
A052,1,0.58457315,0.642119007845332,0.6634870933746114
A052,2,0.3844317,0.5949415288546289,0.6361751689183255
A052,3,0.116021834,0.5289729652062192,0.597357612074553
A052,4,-0.8312764,0.3033752497691004,0.4464184024349225
A053,1,1.401935,0.802490764301313,0.7593554416682936
A053,2,0.97594434,0.7263027439528472,0.7125554312989794
A053,3,-0.40916884,0.39911143446256225,0.5155149194824871
A053,4,-0.13549207,0.4661787079005248,0.558986095618727
A054,1,0.52522403,0.6283685056273507,0.6555407774779254
A054,2,1.1258696,0.7550758431565223,0.7298040149683442
A054,3,1.191061,0.7669307695279574,0.7370385447876591
A054,4,1.2362738,0.7749147493075689,0.7419622784392097
A055,1,0.28537354,0.5708631235539158,0.6221292832838148
A055,2,0.8647509,0.7036522968726747,0.6992088433863972
A055,3,-0.119812906,0.47008255401526894,0.5614274200254764
A055,4,-0.62007034,0.34976545386038743,0.4811796250731799
A056,1,0.5282342,0.6290711730725399,0.6559469486961531
A056,2,0.54977185,0.6340826568472826,0.6588433353372779
A056,3,-0.4118956,0.39845767904893137,0.515074771993404
A056,4,-0.9539059,0.27809999275359315,0.42619463189709983
A057,1,0.4946756,0.6212072640186073,0.6513999592497871
A057,2,-0.77376056,0.31566618360730614,0.45590295489699256
A057,3,-0.68134856,0.3359603844678898,0.4711182946523272
A057,4,-1.0877718,0.2520380951530636,0.4041800111337176
A058,1,1.0215306,0.7352706345455992,0.7178905472959513
A058,2,-0.8427394,0.3009581485586043,0.44452752514016974
A058,3,-0.121771336,0.46959472815327374,0.5611228122608662
A058,4,-1.0669552,0.25598255205031656,0.4075957376993128
A059,1,0.99710035,0.7304880910170718,0.7150412547401443
A059,2,1.2424322,0.775987090117501,0.7426270267434745
A059,3,1.3356622,0.7917756867174323,0.7525185138788977
A059,4,0.38432297,0.5949153261648484,0.6361599388886559
A060,1,-0.051358394,0.4871632229900884,0.5720136055353192
A060,2,1.310061,0.7875233632057355,0.7498342923926595
A060,3,-0.5090028,0.3754273215683216,0.4993293251759421
A060,4,0.19280487,0.5480524522860152,0.6087035565297078
A061,1,2.529091,0.9261562101605637,0.8530327597960065
A061,2,0.94611883,0.7203339739461375,0.7090218930185513
A061,3,0.27741587,0.5689125765177717,0.6209863319266968
A061,4,-0.2929151,0.42729035257841946,0.5341629957933525
A062,1,1.5359104,0.8228694310815077,0.7726915103044584
A062,2,0.14121151,0.535244330597464,0.6011001450446501
A062,3,-0.59946907,0.35446517158241675,0.484555429282462
A062,4,-0.7168849,0.32807931766895526,0.46527218532901127
A063,1,0.86206603,0.7030921264103361,0.698880725906814
A063,2,0.7186035,0.6722994241529398,0.6809474531698839
A063,3,0.17484958,0.543601368442258,0.6060670285686571
A063,4,-0.58241045,0.3583781379551564,0.4873477821304225
A064,1,0.83211017,0.6968009292121761,0.6952011125923792
A064,2,0.56187433,0.6368861130607198,0.6604633479022899
A064,3,0.17636402,0.543977074491377,0.6062898043971222
A064,4,-0.33321425,0.4174587527647392,0.5277259540203141
A065,1,-2.2385516,0.09634156552092973,0.2301892249300433
A065,2,-0.9801161,0.27286874748857515,0.42187663904247796
A065,3,-2.2205753,0.09791797626595487,0.23254913648372158
A065,4,-2.3754525,0.08506382123873645,0.21271899930085927
A066,1,0.46571386,0.6143687841339895,0.6474427327940866
A066,2,-0.45289963,0.38867157462219676,0.5084423650401737
A066,3,-0.92944336,0.28303765833971234,0.4302268808048164
A066,4,-1.2830758,0.21702710924121899,0.3723545407710303
A067,1,0.6627066,0.6598681262583223,0.6737480207192333
A067,2,-1.312235,0.21211308807681478,0.36764708810879243
A067,3,-1.4752139,0.1861514200751898,0.34162152403078716
A067,4,-1.1757759,0.2358125504898091,0.3897836471146414
A068,1,1.3038205,0.7864772647625852,0.749176329796613
A068,2,0.163223,0.5407153960030906,0.6043543199183165
A068,3,0.4192529,0.6033044615822838,0.6410311031505496
A068,4,-0.3906647,0.40355729795622153,0.5184986942125268
A069,1,-0.7867887,0.31285861336765874,0.4537551985178757
A069,2,-1.5067587,0.1814196505067795,0.33664865899076285
A069,3,-0.71302193,0.32893144830349963,0.46590802220278116
A069,4,-1.7110198,0.1530314898024918,0.30507083116437395
A070,1,0.5967721,0.6449174668418701,0.6651042034623282
A070,2,0.042192243,0.5105464962365599,0.5862779189082553
A070,3,-0.4347659,0.39298885475982875,0.5113785907416226
A070,4,-1.0469787,0.25980569525989367,0.4108767145713429
