UID,TEST,location_type,theta,se,TSVR_hours
A036,T1,Destination,-1.4248906,0.5,1.0
A036,T2,Destination,-1.6166325,0.5,21.63
A036,T3,Destination,-1.5186924,0.5,71.47
A036,T4,Destination,-1.4868759,0.5,143.85
A037,T1,Destination,0.028820284,0.5,1.0
A037,T2,Destination,-0.7307667,0.5,23.7
A037,T3,Destination,0.039971896,0.5,72.08
A037,T4,Destination,-1.0604337,0.5,143.66
A038,T1,Destination,0.03535945,0.5,1.0
A038,T2,Destination,0.09267629,0.5,71.85
A038,T3,Destination,0.19205713,0.5,72.86
A038,T4,Destination,-0.28523612,0.5,152.89
A039,T1,Destination,0.38967586,0.5,1.0
A039,T2,Destination,0.80260557,0.5,28.65
A039,T3,Destination,0.2218445,0.5,98.84
A039,T4,Destination,0.04020334,0.5,246.24
A040,T1,Destination,0.0019404963,0.5,1.0
A040,T2,Destination,-0.18772006,0.5,26.26
A040,T3,Destination,-0.48499733,0.5,71.28
A040,T4,Destination,-0.6703814,0.5,143.53
A041,T1,Destination,0.15652198,0.5,1.0
A041,T2,Destination,-0.7230804,0.5,31.78
A041,T3,Destination,-0.0652492,0.5,75.74
A041,T4,Destination,-0.47451437,0.5,141.84
A042,T1,Destination,-1.1043742,0.5,1.0
A042,T2,Destination,-1.6247622,0.5,28.93
A042,T3,Destination,-1.5245684,0.5,72.17
A042,T4,Destination,-0.28710085,0.5,146.02
A043,T1,Destination,0.70260984,0.5,1.0
A043,T2,Destination,0.67980015,0.5,25.62
A043,T3,Destination,0.41440833,0.5,64.94
A043,T4,Destination,0.2691201,0.5,149.33
A044,T1,Destination,-1.2625083,0.5,1.0
A044,T2,Destination,-0.9418907,0.5,47.66
A044,T3,Destination,-1.6548837,0.5,91.63
A044,T4,Destination,-1.4638461,0.5,155.27
A045,T1,Destination,0.107430644,0.5,1.0
A045,T2,Destination,-0.14785308,0.5,24.66
A045,T3,Destination,0.015569456,0.5,72.23
A045,T4,Destination,-0.85659695,0.5,151.52
A046,T1,Destination,-0.8858392,0.5,1.0
A046,T2,Destination,-1.0892278,0.5,24.32
A046,T3,Destination,-1.7300338,0.5,73.05
A046,T4,Destination,-1.0145254,0.5,147.94
A047,T1,Destination,-0.9911052,0.5,1.0
A047,T2,Destination,-0.91325116,0.5,23.46
A047,T3,Destination,-1.3284942,0.5,76.85
A047,T4,Destination,-1.5817481,0.5,144.22
A048,T1,Destination,-0.04382407,0.5,1.0
A048,T2,Destination,-0.3519171,0.5,23.91
A048,T3,Destination,0.005485378,0.5,81.15
A048,T4,Destination,-0.07758277,0.5,146.3
A049,T1,Destination,0.19780612,0.5,1.0
A049,T2,Destination,-0.8922324,0.5,27.12
A049,T3,Destination,-0.18853784,0.5,111.38
A049,T4,Destination,-0.34735084,0.5,168.86
A050,T1,Destination,-0.108382456,0.5,1.0
A050,T2,Destination,-0.07980966,0.5,24.73
A050,T3,Destination,-0.90844625,0.5,93.39
A050,T4,Destination,-1.2433821,0.5,148.69
A051,T1,Destination,0.47366124,0.5,1.0
A051,T2,Destination,0.22646618,0.5,17.16
A051,T3,Destination,-0.20670265,0.5,65.63
A051,T4,Destination,-0.3287778,0.5,146.99
