composite_ID,domain_name,theta
A097_1,cued_recall,-0.15211317
A097_2,cued_recall,-0.4947157
A097_3,cued_recall,0.14068688
A097_4,cued_recall,-0.71457595
A098_1,cued_recall,0.8463065
A098_2,cued_recall,-0.023233768
A098_3,cued_recall,0.93830234
A098_4,cued_recall,-0.8571059
A099_1,cued_recall,0.8241908
A099_2,cued_recall,0.93270874
A099_3,cued_recall,0.29830885
A099_4,cued_recall,1.2755927
A100_1,cued_recall,0.015466106
A100_2,cued_recall,1.9700521
A100_3,cued_recall,0.29263172
A100_4,cued_recall,0.02703544
A101_1,cued_recall,-0.010842782
A101_2,cued_recall,-0.18156572
A101_3,cued_recall,-0.9934629
A101_4,cued_recall,-0.97396505
A102_1,cued_recall,-0.15551716
A102_2,cued_recall,1.0611908
A102_3,cued_recall,0.0029180527
A102_4,cued_recall,0.07449649
A103_1,cued_recall,1.500082
A103_2,cued_recall,-0.7401802
A103_3,cued_recall,-1.2994369
A103_4,cued_recall,-0.96303654
A104_1,cued_recall,1.3456266
A104_2,cued_recall,0.41738358
A104_3,cued_recall,-0.38056508
A104_4,cued_recall,-2.0276473
A105_1,cued_recall,0.5947165
A105_2,cued_recall,0.51836854
A105_3,cued_recall,-0.6385616
A105_4,cued_recall,-0.31425187
A106_1,cued_recall,1.0773969
A106_2,cued_recall,-0.14691587
A106_3,cued_recall,-0.23616724
A106_4,cued_recall,0.878255
A107_1,cued_recall,-0.48677388
A107_2,cued_recall,-1.2887948
A107_3,cued_recall,-0.72267026
A107_4,cued_recall,-0.8907471
A108_1,cued_recall,-0.9464175
A108_2,cued_recall,-0.071524754
A108_3,cued_recall,0.31340283
A108_4,cued_recall,-1.4053705
A109_1,cued_recall,-0.57611716
A109_2,cued_recall,-1.2845246
A109_3,cued_recall,0.005769193
A109_4,cued_recall,-1.191794
A010_1,recognition,2.948172
A010_2,recognition,0.6975097
A010_3,recognition,-0.63094324
A010_4,recognition,0.7365306
A011_1,recognition,0.9935509
A011_2,recognition,0.36888233
A011_3,recognition,-0.56566584
A011_4,recognition,-0.026324112
A012_1,recognition,1.2992356
A012_2,recognition,-0.29995346
A012_3,recognition,0.42254844
A012_4,recognition,-1.0525626
A013_1,recognition,0.57847524
A013_2,recognition,-0.53492546
A013_3,recognition,0.89901525
A013_4,recognition,-0.5853746
A014_1,recognition,1.2683184
A014_2,recognition,1.6806864
A014_3,recognition,0.14434858
A014_4,recognition,-0.7086586
A015_1,recognition,1.5735636
A015_2,recognition,1.2963535
A015_3,recognition,1.673798
A015_4,recognition,-0.14141276
