UID,TEST,LocationType,theta_accuracy,TSVR_hours,theta_confidence
A020,T1,Destination,-0.39048332,1.0,0.084936984
A020,T2,Destination,0.15357906,26.85,-0.38507468
A020,T3,Destination,-0.33567235,78.25,-0.8200439
A020,T4,Destination,-1.1523182,145.78,-1.4524196
A021,T1,Destination,0.64160866,1.0,-0.29108983
A021,T2,Destination,0.47721207,30.21,-0.21397233
A021,T3,Destination,-0.59433186,74.19,-0.72609866
A021,T4,Destination,-0.99789435,140.39,-0.52507687
A022,T1,Destination,-0.42679092,1.0,-0.9335841
A022,T2,Destination,-0.60329264,24.15,-1.239637
A022,T3,Destination,-0.09910751,74.46,-0.8647789
A022,T4,Destination,-0.08970222,141.71,-1.5464507
A023,T1,Destination,0.1930206,1.0,0.20654905
A023,T2,Destination,0.101476,25.63,-0.33590782
A023,T3,Destination,-0.27825373,72.2,-0.5276897
A023,T4,Destination,0.92574984,145.07,-0.09092378
A024,T1,Destination,-0.26954484,1.0,-0.490049
A024,T2,Destination,-0.57454836,29.57,-0.613402
A024,T3,Destination,0.0074428213,91.47,-0.31282544
A024,T4,Destination,-0.940981,145.65,-0.15840495
A025,T1,Destination,0.05380287,1.0,-0.07447063
A025,T2,Destination,1.5041252,23.33,-0.09470015
A025,T3,Destination,-0.27671874,72.94,-0.74952257
A025,T4,Destination,-0.14176248,137.74,-1.3529526
A026,T1,Destination,1.0732766,1.0,0.08161802
A026,T2,Destination,0.63977706,26.48,0.023693688
A026,T3,Destination,0.61266387,75.46,-0.2586269
A026,T4,Destination,-0.2835504,147.65,0.07215012
A027,T1,Destination,0.52744526,1.0,0.20354348
A027,T2,Destination,1.2530484,28.26,0.24188459
A027,T3,Destination,-0.48801902,74.58,-0.9671205
A027,T4,Destination,0.38854283,145.92,-1.2659346
A028,T1,Destination,1.5729234,1.0,0.4769665
A028,T2,Destination,0.35054204,22.82,0.1722151
A028,T3,Destination,0.36001632,72.26,-0.31882703
A028,T4,Destination,-0.4464555,138.91,-0.9104983
A029,T1,Destination,1.7540342,1.0,0.58631253
A029,T2,Destination,0.9775655,28.43,-0.057473175
A029,T3,Destination,0.37505868,93.26,-0.2605461
A029,T4,Destination,1.0688435,143.14,-0.15465695
A030,T1,Destination,-0.5316837,1.0,-0.780341
A030,T2,Destination,1.5800109,32.95,-0.3914131
A030,T3,Destination,0.7544972,71.93,-0.36319333
A030,T4,Destination,0.12028915,150.46,-0.6311003
A031,T1,Destination,1.4608339,1.0,0.8747201
A031,T2,Destination,-0.6116699,32.41,0.28195387
A031,T3,Destination,-0.31054813,71.56,-0.69375503
A031,T4,Destination,-0.8304748,143.85,-0.59017634
A032,T1,Destination,-0.66399795,1.0,0.09588946
A032,T2,Destination,-0.2995187,57.18,-0.33580983
A032,T3,Destination,0.80790555,80.16,-0.16218269
A032,T4,Destination,1.2733109,144.51,0.07253409
A033,T1,Destination,-0.8207058,1.0,-0.24775255
A033,T2,Destination,0.05391906,29.16,-0.5203942
A033,T3,Destination,0.01400444,72.6,0.00516624
A033,T4,Destination,-1.3077472,168.33,-0.8157016
A034,T1,Destination,1.5448427,1.0,0.45592862
A034,T2,Destination,1.3082612,26.08,0.5142764
A034,T3,Destination,-1.1147809,74.28,-0.14541733
A034,T4,Destination,-0.6969951,145.38,-0.5549027
A035,T1,Destination,0.30524516,1.0,-0.10640716
A035,T2,Destination,-0.05189664,44.76,-0.21338701
A035,T3,Destination,-0.003024264,79.98,-0.4429525
A035,T4,Destination,-1.0853919,152.47,-1.2231709
A036,T1,Destination,1.3103865,1.0,-1.4248906
A036,T2,Destination,-0.8839064,21.63,-1.6166325
A036,T3,Destination,-0.5670363,71.47,-1.5186924
A036,T4,Destination,-0.9257591,143.85,-1.4868759
A037,T1,Destination,-0.37298724,1.0,0.028820284
A037,T2,Destination,0.8601754,23.7,-0.7307667
A037,T3,Destination,0.52264977,72.08,0.039971896
A037,T4,Destination,-0.7062983,143.66,-1.0604337
A038,T1,Destination,1.0395416,1.0,0.03535945
A038,T2,Destination,-0.28525016,71.85,0.09267629
A038,T3,Destination,0.56079465,72.86,0.19205713
A038,T4,Destination,-0.17457396,152.89,-0.28523612
A039,T1,Destination,1.7322454,1.0,0.38967586
A039,T2,Destination,1.3414384,28.65,0.80260557
A039,T3,Destination,0.9721396,98.84,0.2218445
A039,T4,Destination,1.2233254,246.24,0.04020334
A040,T1,Destination,-0.9852747,1.0,0.0019404963
A040,T2,Destination,0.88222194,26.26,-0.18772006
A040,T3,Destination,-0.9794845,71.28,-0.48499733
