UID,TEST,LocationType,theta_accuracy,TSVR_hours,theta_confidence,Z_accuracy,Z_confidence,calibration
A032,T1,Source,0.95065767,1.0,0.3556729,1.130852461499777,1.293804617287999,0.16295215578822186
A032,T2,Source,-0.558087,57.18,-0.22092295,-0.6222014488479843,0.4446595857005386,1.066861034548523
A032,T3,Source,0.03167592,80.16,-0.07842231,0.06306108340282642,0.6545183809971633,0.5914572975943369
A032,T4,Source,1.2263699,144.51,-0.18293339,1.451210446878576,0.5006063049254407,-0.9506041419531354
A033,T1,Source,0.01302593,1.0,-0.08154905,0.041391122575427666,0.6499136726280937,0.6085225500526661
A033,T2,Source,0.11565804,29.16,-0.30839193,0.1606423287869741,0.315845183402945,0.1552028546159709
A033,T3,Source,1.0797325,72.6,0.06875718,1.2808282260928492,0.8712676563953062,-0.40956056969754295
A033,T4,Source,-0.57237154,168.33,-0.2847555,-0.6387990675189548,0.35065423917218924,0.989453306691144
A034,T1,Source,1.4213097,1.0,0.4980229,1.677716618179523,1.5034415670622212,-0.17427505111730168
A034,T2,Source,1.3198788,26.08,0.47552276,1.5598611324828657,1.4703059104475884,-0.08955522203527733
A034,T3,Source,0.29753846,74.28,0.22463083,0.37197443012701936,1.1008207054727541,0.7288462753457348
A034,T4,Source,0.2194541,145.38,-0.19622636,0.28124596204566915,0.4810299249869774,0.19978396294130824
A035,T1,Source,-0.58022076,1.0,-0.3433745,-0.6479193024319834,0.26432681831644533,0.9122461207484287
A035,T2,Source,0.94498247,44.76,0.07683998,1.124258283074606,0.8831710883421633,-0.24108719473244267
A035,T3,Source,-0.67052317,79.98,-0.58164066,-0.7528442749021937,-0.08656458327692877,0.666279691625265
A035,T4,Source,-1.0736576,152.47,-1.0525974,-1.2212577864523726,-0.7801363040300826,0.44112148242229
A036,T1,Source,0.56033707,1.0,-1.515249,0.6773277082893584,-1.46147715567858,-2.1388048639679385
A036,T2,Source,0.11009441,21.63,-1.7673868,0.15417778675997354,-1.8327971368150944,-1.986974923575068
A036,T3,Source,-0.44275582,71.47,-1.5560216,-0.48819482724777585,-1.5215224208585196,-1.0333275936107438
A036,T4,Source,-1.2420775,143.85,-1.4760953,-1.4169497217056577,-1.4038160229748569,0.013133698730800836
A037,T1,Source,0.971286,1.0,0.2787043,1.1548211125840218,1.180453984815978,0.025632872231956316
A037,T2,Source,0.94823486,23.7,-0.2574504,1.1280373287414092,0.39086609640633124,-0.7371712323350779
A037,T3,Source,0.0045165215,72.08,-0.7351769,0.0315037956192559,-0.3126753597672901,-0.344179155386546
A037,T4,Source,-0.5205274,143.66,-0.8546302,-0.5785598672335831,-0.48859264429461785,0.08996722293896525
A038,T1,Source,0.71647024,1.0,-0.1395585,0.8587433378825962,0.564483927941896,-0.2942594099407002
A038,T2,Source,-0.52280927,71.85,-0.053043365,-0.5812112377444101,0.6918936154073336,1.2731048531517437
A038,T3,Source,1.3734354,72.86,-0.21951783,1.6220900893910821,0.4467288872169892,-1.175361202174093
A038,T4,Source,-0.27067098,152.89,0.08328974,-0.2882444925940211,0.8926695640230609,1.180914056617082
A039,T1,Source,1.3928413,1.0,0.73000395,1.6446383638309299,1.845076970837573,0.20043860700664307
A039,T2,Source,0.31963685,28.65,0.41058666,0.3976511862887428,1.3746753805267324,0.9770241942379896
A039,T3,Source,1.0655857,98.84,0.14971769,1.2643906514972036,0.990497121576658,-0.2738935299205456
A039,T4,Source,0.74151385,246.24,-0.43495274,0.8878422300362462,0.1294607635269008,-0.7583814665093453
A040,T1,Source,-0.46198902,1.0,-0.16564754,-0.5105424365808384,0.52606294607932,1.0366053826601584
A040,T2,Source,-0.335709,26.26,-0.172449,-0.36381404226625014,0.5160465264909015,0.8798605687571517
A040,T3,Source,-1.4675875,71.28,-0.5883464,-1.6789762893438545,-0.09644003729574857,1.5825362520481059
A040,T4,Source,-1.0677122,143.53,-0.6348135,-1.2143496548607087,-0.16487151681000048,1.049478138050708
A041,T1,Source,1.079175,1.0,0.57319,1.2801804507770835,1.6141391544691335,0.33395870369204994
A041,T2,Source,-1.0853513,31.78,-0.13804448,-1.234845033465768,0.5667136050384689,1.8015586385042368
A041,T3,Source,-0.1782166,75.74,-0.16103083,-0.18081908416637912,0.5328619134301605,0.7136809975965397
A041,T4,Source,0.9023358,141.84,0.17215323,1.07470588823048,1.0235376426313652,-0.051168245599114925
A042,T1,Source,-0.5589121,1.0,-1.0337087,-0.6231601563153174,-0.752319167021299,-0.12915901070598157
A042,T2,Source,-1.3708228,28.93,-1.7239662,-1.5665425958954937,-1.7688521972902154,-0.20230960139472165
A042,T3,Source,-0.8300745,72.17,-1.6143719,-0.9382315631023146,-1.6074541308016939,-0.6692225676993793
A042,T4,Source,-1.5882493,146.02,-1.1435481,-1.819176711937294,-0.9140781890165973,0.9050985229206966
A043,T1,Source,0.66669923,1.0,0.59257984,0.800912967086683,1.6426943136838168,0.8417813465971338
A043,T2,Source,0.21157885,25.62,0.5617119,0.27209548212552054,1.5972355094167732,1.3251400272912526
A043,T3,Source,-0.3631573,64.94,0.09755397,-0.39570701302809447,0.9136763056323194,1.3093833186604138
A043,T4,Source,-0.15410642,149.33,-0.34350193,-0.1528047712288637,0.2641391538520286,0.4169439250808923
A044,T1,Source,-0.77502024,1.0,-1.3338357,-0.8742624318812563,-1.194312204077063,-0.32004977219580677
A044,T2,Source,-0.4404797,47.66,-0.66508615,-0.48555013782764966,-0.209453645419643,0.27609649240800666
A044,T3,Source,-1.4569299,91.63,-1.8109468,-1.6665929167782882,-1.8969473688640244,-0.23035445208573613
A044,T4,Source,-1.2631737,155.27,-1.6222793,-1.4414620044257542,-1.6190992535037987,-0.17763724907804446
A045,T1,Source,-0.5580017,1.0,-0.38404018,-0.6221023363198502,0.20443901279698914,0.8265413491168394
A045,T2,Source,-0.8744425,24.66,-0.6423161,-0.9897840208778966,-0.1759204959415499,0.8138635249363467
A045,T3,Source,-0.7973534,72.23,-0.35081738,-0.900211974071468,0.253365788033793,1.153577762105261
A045,T4,Source,-0.57261163,151.52,-0.5377878,-0.6390780350087524,-0.02198306020509176,0.6170949748036606
A046,T1,Source,-0.6971506,1.0,-0.62573093,-0.7837834531556032,-0.15149573689492593,0.6322877162606773
A046,T2,Source,-1.4928403,24.32,-0.99523413,-1.7083182453868406,-0.6956581800267447,1.012660065360096
A046,T3,Source,-1.7452676,73.05,-1.7675588,-2.0016207995847806,-1.8330504389251132,0.16857036065966735
A046,T4,Source,-0.63528097,147.94,-0.8553399,-0.7118953471295059,-0.4896378100357824,0.22225753709372348
A047,T1,Source,-0.35001668,1.0,-1.007689,-0.3804385479700579,-0.7140003012535412,-0.3335617532834833
A047,T2,Source,-0.16671039,23.46,-0.56241226,-0.16744968718698,-0.05824717460085809,0.1092025125861219
A047,T3,Source,-1.3709793,76.85,-1.3289393,-1.566724437755435,-1.1871013409869717,0.3796230967684633
