composite_ID,UID,test,theta_confidence,se_confidence,TSVR_hours
A081_T3,A081,3,-0.52635825,0.033312414,80.13
A081_T4,A081,4,-0.53006846,0.033312414,154.53
A082_T1,A082,1,-0.22234312,0.033312414,1.0
A082_T2,A082,2,-0.44037765,0.033312414,27.97
A082_T3,A082,3,-0.56536925,0.033312414,75.71
A082_T4,A082,4,-0.9947171,0.033312414,170.25
A083_T1,A083,1,0.004754789,0.033312414,1.0
A083_T2,A083,2,-0.48276672,0.033312414,25.15
A083_T3,A083,3,-0.4372354,0.033312414,74.3
A083_T4,A083,4,-0.5513548,0.033312414,144.91
A084_T1,A084,1,-1.4660891,0.033312414,1.0
A084_T2,A084,2,-1.3201833,0.033312414,27.25
A084_T3,A084,3,-1.1787816,0.033312414,91.97
A084_T4,A084,4,-1.2781861,0.033312414,162.51
A085_T1,A085,1,-0.4503213,0.033312414,1.0
A085_T2,A085,2,0.00259445,0.033312414,24.51
A085_T3,A085,3,-0.16244699,0.033312414,71.4
A085_T4,A085,4,-0.76807487,0.033312414,170.65
A086_T1,A086,1,-0.079089,0.033312414,1.0
A086_T2,A086,2,-0.18591997,0.033312414,23.47
A086_T3,A086,3,-0.7226914,0.033312414,145.29
A086_T4,A086,4,-0.78654015,0.033312414,169.55
A087_T1,A087,1,-0.09658217,0.033312414,1.0
A087_T2,A087,2,-0.30566287,0.033312414,31.07
A087_T3,A087,3,-0.5371069,0.033312414,72.8
A087_T4,A087,4,-0.23646314,0.033312414,144.2
A088_T1,A088,1,-0.2547915,0.033312414,1.0
A088_T2,A088,2,-0.17022878,0.033312414,24.25
A088_T3,A088,3,-0.6985878,0.033312414,74.91
A088_T4,A088,4,-0.27308685,0.033312414,149.93
A089_T1,A089,1,-0.09992828,0.033312414,1.0
A089_T2,A089,2,-0.39490718,0.033312414,32.14
A089_T3,A089,3,-0.6878582,0.033312414,79.34
A089_T4,A089,4,-0.700304,0.033312414,146.96
A090_T1,A090,1,-1.6835222,0.033312414,1.0
A090_T2,A090,2,-1.0855069,0.033312414,23.54
A090_T3,A090,3,-1.088068,0.033312414,95.42
A090_T4,A090,4,-0.7511724,0.033312414,144.07
A091_T1,A091,1,-0.2862672,0.033312414,1.0
A091_T2,A091,2,-0.6812923,0.033312414,22.2
A091_T3,A091,3,-0.81964105,0.033312414,73.64
A091_T4,A091,4,-0.4983091,0.033312414,142.61
A092_T1,A092,1,-0.36225155,0.033312414,1.0
A092_T2,A092,2,-0.58775675,0.033312414,22.83
A092_T3,A092,3,-0.9059947,0.033312414,71.31
A092_T4,A092,4,-1.0669404,0.033312414,146.16
A093_T1,A093,1,-0.06434872,0.033312414,1.0
A093_T2,A093,2,-0.8411957,0.033312414,22.09
A093_T3,A093,3,-1.2671429,0.033312414,70.22
A093_T4,A093,4,-1.3883843,0.033312414,140.95
A094_T1,A094,1,-0.7272985,0.033312414,1.0
A094_T2,A094,2,-0.8506081,0.033312414,22.98
A094_T3,A094,3,-1.0895172,0.033312414,76.21
A094_T4,A094,4,-1.1266032,0.033312414,149.99
A095_T1,A095,1,-0.080623694,0.033312414,1.0
A095_T2,A095,2,-0.7292298,0.033312414,29.71
A095_T3,A095,3,-0.53817576,0.033312414,78.76
A095_T4,A095,4,-1.0688891,0.033312414,148.79
A096_T1,A096,1,-0.2553402,0.033312414,1.0
A096_T2,A096,2,-1.2609805,0.033312414,24.49
A096_T3,A096,3,-0.9994125,0.033312414,71.19
A096_T4,A096,4,-0.838582,0.033312414,143.66
A097_T1,A097,1,-0.7875995,0.033312414,1.0
A097_T2,A097,2,-0.98327124,0.033312414,24.37
A097_T3,A097,3,-1.5329474,0.033312414,70.83
A097_T4,A097,4,-0.78939307,0.033312414,144.85
A098_T1,A098,1,-0.31676105,0.033312414,1.0
A098_T2,A098,2,-0.533716,0.033312414,25.77
A098_T3,A098,3,-0.189416,0.033312414,78.84
A098_T4,A098,4,-0.651864,0.033312414,146.29
A099_T1,A099,1,-0.26512447,0.033312414,1.0
A099_T2,A099,2,-0.13362212,0.033312414,28.75
A099_T3,A099,3,-0.30550545,0.033312414,78.57
A099_T4,A099,4,0.11336677,0.033312414,143.51
A100_T1,A100,1,-0.5656639,0.033312414,1.0
A100_T2,A100,2,-0.75647,0.033312414,31.14
A100_T3,A100,3,-0.64741546,0.033312414,75.34
A100_T4,A100,4,-1.4772094,0.033312414,146.8
A101_T1,A101,1,-1.0507481,0.033312414,1.0
A101_T2,A101,2,-1.0536718,0.033312414,29.12
A101_T3,A101,3,-0.74877745,0.033312414,75.21
A101_T4,A101,4,-0.6749849,0.033312414,150.22
A102_T1,A102,1,-0.46174812,0.033312414,1.0
A102_T2,A102,2,-0.5995759,0.033312414,29.13
A102_T3,A102,3,-0.6292326,0.033312414,75.27
A102_T4,A102,4,-0.9110322,0.033312414,150.41
A103_T1,A103,1,-1.0606663,0.033312414,1.0
A103_T2,A103,2,-0.7767012,0.033312414,27.26
A103_T3,A103,3,-0.5057445,0.033312414,80.24
A103_T4,A103,4,-0.3675996,0.033312414,149.72
A104_T1,A104,1,-0.072939284,0.033312414,1.0
A104_T2,A104,2,-0.22977822,0.033312414,22.6
A104_T3,A104,3,-0.33483577,0.033312414,72.62
A104_T4,A104,4,-0.73633283,0.033312414,145.78
A105_T1,A105,1,0.24509619,0.033312414,1.0
A105_T2,A105,2,-0.10634288,0.033312414,22.77
A105_T3,A105,3,-0.65412486,0.033312414,69.46
A105_T4,A105,4,-0.9775078,0.033312414,146.2
A106_T1,A106,1,-0.16558942,0.033312414,1.0
A106_T2,A106,2,-0.61603713,0.033312414,22.64
A106_T3,A106,3,-0.4829895,0.033312414,66.08
A106_T4,A106,4,-0.33196145,0.033312414,147.13
A107_T1,A107,1,-0.5755745,0.033312414,1.0
A107_T2,A107,2,-1.7364719,0.033312414,26.22
A107_T3,A107,3,-0.97584885,0.033312414,71.45
A107_T4,A107,4,-1.0911231,0.033312414,145.95
A108_T1,A108,1,-0.70196605,0.033312414,1.0
A108_T2,A108,2,-0.9441194,0.033312414,27.61
A108_T3,A108,3,-0.901651,0.033312414,68.96
A108_T4,A108,4,-1.4801294,0.033312414,152.12
A109_T1,A109,1,-0.9348919,0.033312414,1.0
A109_T2,A109,2,-1.394195,0.033312414,24.65
A109_T3,A109,3,-0.90227175,0.033312414,71.17
A109_T4,A109,4,-1.5509698,0.033312414,149.87
