composite_ID,UID,test,TSVR_hours,log_TSVR,congruence,theta
A090_T4,A090,T4,144.07,4.977216384550811,Common,-2.092507
A091_T1,A091,T1,1.0,0.6931471805599453,Common,-0.41365513
A091_T2,A091,T2,22.2,3.1441522786722644,Common,-0.6457824
A091_T3,A091,T3,73.64,4.312676556539088,Common,-1.044027
A091_T4,A091,T4,142.61,4.9671012920725275,Common,-0.4834225
A092_T1,A092,T1,1.0,0.6931471805599453,Common,-0.4865041
A092_T2,A092,T2,22.83,3.170945291110651,Common,-0.6829716
A092_T3,A092,T3,71.31,4.28096243218686,Common,-0.6932575
A092_T4,A092,T4,146.16,4.991520430236574,Common,-1.2855393
A093_T1,A093,T1,1.0,0.6931471805599453,Common,0.07188801
A093_T2,A093,T2,22.09,3.139399623366404,Common,-1.811695
A093_T3,A093,T3,70.22,4.265773677849632,Common,-2.0430598
A093_T4,A093,T4,140.95,4.95547488291898,Common,-2.2185197
A094_T1,A094,T1,1.0,0.6931471805599453,Common,-0.8427903
A094_T2,A094,T2,22.98,3.177220149599368,Common,-0.81286556
A094_T3,A094,T3,76.21,4.3465289823207245,Common,-1.3200886
A094_T4,A094,T4,149.99,5.017213609456379,Common,-1.4055467
A095_T1,A095,T1,1.0,0.6931471805599453,Common,-0.2170119
A095_T2,A095,T2,29.71,3.424588334452731,Common,-0.9589344
A095_T3,A095,T3,78.76,4.379022125653583,Common,-0.4706224
A095_T4,A095,T4,148.79,5.009234313180627,Common,-0.90993446
A096_T1,A096,T1,1.0,0.6931471805599453,Common,-0.070533715
A096_T2,A096,T2,24.49,3.238286218388024,Common,-0.7617069
A096_T3,A096,T3,71.19,4.279301532151069,Common,-0.88127846
A096_T4,A096,T4,143.66,4.974386161421135,Common,-0.5452011
A097_T1,A097,T1,1.0,0.6931471805599453,Common,-0.9551622
A097_T2,A097,T2,24.37,3.2335673736111907,Common,-2.1401153
A097_T3,A097,T3,70.83,4.27430221608671,Common,-1.8601369
A097_T4,A097,T4,144.85,4.98257869631373,Common,-2.1153955
A098_T1,A098,T1,1.0,0.6931471805599453,Common,-0.38917515
A098_T2,A098,T2,25.77,3.2872818575322613,Common,-0.65940267
A098_T3,A098,T3,78.84,4.380024632003209,Common,-0.13516614
A098_T4,A098,T4,146.29,4.992403432501452,Common,-0.49834368
A099_T1,A099,T1,1.0,0.6931471805599453,Common,-0.29917094
A099_T2,A099,T2,28.75,3.392829131991639,Common,-0.2963017
A099_T3,A099,T3,78.57,4.3766371373894435,Common,-0.35486338
A099_T4,A099,T4,143.51,4.973348709310239,Common,0.11666683
A100_T1,A100,T1,1.0,0.6931471805599453,Common,-0.9540482
A100_T2,A100,T2,31.14,3.4701013603093664,Common,-1.3237122
A100_T3,A100,T3,75.34,4.3351970473170836,Common,-1.1919868
A100_T4,A100,T4,146.8,4.995860008514102,Common,-2.1018343
A101_T1,A101,T1,1.0,0.6931471805599453,Common,-1.1153308
A101_T2,A101,T2,29.12,3.405189402931693,Common,-1.1898901
A101_T3,A101,T3,75.21,4.333492687678026,Common,-2.1282306
A101_T4,A101,T4,150.22,5.018735730130124,Common,-2.1334977
A102_T1,A102,T1,1.0,0.6931471805599453,Common,-0.48121974
