Name,Label,Function,Type,Regex
i_n_tpaper_6_pantry_bench_kit_c,i_n_tpaper_6_pantry_bench_kit_c,mean,vr,.*KIT.*-N-.*-n6.*-CON
i_n_drill_1_couch_bookcase_liv_c,i_n_drill_1_couch_bookcase_liv_c,mean,vr,.*LIV.*-N-.*-n1.*-CON
i_n_mask_2_p4_p1_liv_c,i_n_mask_2_p4_p1_liv_c,mean,vr,.*LIV.*-N-.*-n2.*-CON
i_n_lamp_3_p2_couch_liv_c,i_n_lamp_3_p2_couch_liv_c,mean,vr,.*LIV.*-N-.*-n3.*-CON
i_n_handbag_4_tv_p2_liv_c,i_n_handbag_4_tv_p2_liv_c,mean,vr,.*LIV.*-N-.*-n4.*-CON
i_n_laptop_5_chair_tv_liv_c,i_n_laptop_5_chair_tv_liv_c,mean,vr,.*LIV.*-N-.*-n5.*-CON
i_n_newspaper_6_p3_chair_liv_c,i_n_newspaper_6_p3_chair_liv_c,mean,vr,.*LIV.*-N-.*-n6.*-CON
i_u_duck_1_bath_shower_bat_c,i_u_duck_1_bath_shower_bat_c,mean,vr,.*BAT.*-U-.*-n1.*-CON
i_u_remote_2_p2_bath_bat_c,i_u_remote_2_p2_bath_bat_c,mean,vr,.*BAT.*-U-.*-n2.*-CON
i_u_tbrushes_3_p3_p4_bat_c,i_u_tbrushes_3_p3_p4_bat_c,mean,vr,.*BAT.*-U-.*-n3.*-CON
i_u_book_4_toilet_p3_bat_c,i_u_book_4_toilet_p3_bat_c,mean,vr,.*BAT.*-U-.*-n4.*-CON
i_u_hammer_5_sink_toilet_bat_c,i_u_hammer_5_sink_toilet_bat_c,mean,vr,.*BAT.*-U-.*-n5.*-CON
i_u_glasses_6_p1_sink_bat_c,i_u_glasses_6_p1_sink_bat_c,mean,vr,.*BAT.*-U-.*-n6.*-CON
i_u_alarm_1_bed_p4_bed_c,i_u_alarm_1_bed_p4_bed_c,mean,vr,.*BED.*-U-.*-n1.*-CON
i_u_magazine_2_dresser_bed_bed_c,i_u_magazine_2_dresser_bed_bed_c,mean,vr,.*BED.*-U-.*-n2.*-CON
i_u_picture_3_p1_dresser_bed_c,i_u_picture_3_p1_dresser_bed_c,mean,vr,.*BED.*-U-.*-n3.*-CON
i_u_frypan_4_bookshelf_wardrobe_bed_c,i_u_frypan_4_bookshelf_wardrobe_bed_c,mean,vr,.*BED.*-U-.*-n4.*-CON
i_u_phone_5_p4_p2_bed_c,i_u_phone_5_p4_p2_bed_c,mean,vr,.*BED.*-U-.*-n5.*-CON
i_u_knife_6_p3_bookshelf_bed_c,i_u_knife_6_p3_bookshelf_bed_c,mean,vr,.*BED.*-U-.*-n6.*-CON
i_u_letters_1_p2_fridge_kit_c,i_u_letters_1_p2_fridge_kit_c,mean,vr,.*KIT.*-U-.*-n1.*-CON
i_u_cutlery_2_oven_p2_kit_c,i_u_cutlery_2_oven_p2_kit_c,mean,vr,.*KIT.*-U-.*-n2.*-CON
i_u_toaster_3_p4_oven_kit_c,i_u_toaster_3_p4_oven_kit_c,mean,vr,.*KIT.*-U-.*-n3.*-CON
i_u_oil_4_p1_p3_kit_c,i_u_oil_4_p1_p3_kit_c,mean,vr,.*KIT.*-U-.*-n4.*-CON
i_u_keys_5_bench_pantry_kit_c,i_u_keys_5_bench_pantry_kit_c,mean,vr,.*KIT.*-U-.*-n5.*-CON
i_u_tpaper_6_pantry_bench_kit_c,i_u_tpaper_6_pantry_bench_kit_c,mean,vr,.*KIT.*-U-.*-n6.*-CON
i_u_drill_1_couch_bookcase_liv_c,i_u_drill_1_couch_bookcase_liv_c,mean,vr,.*LIV.*-U-.*-n1.*-CON
i_u_mask_2_p4_p1_liv_c,i_u_mask_2_p4_p1_liv_c,mean,vr,.*LIV.*-U-.*-n2.*-CON
i_u_lamp_3_p2_couch_liv_c,i_u_lamp_3_p2_couch_liv_c,mean,vr,.*LIV.*-U-.*-n3.*-CON
i_u_handbag_4_tv_p2_liv_c,i_u_handbag_4_tv_p2_liv_c,mean,vr,.*LIV.*-U-.*-n4.*-CON
i_u_laptop_5_chair_tv_liv_c,i_u_laptop_5_chair_tv_liv_c,mean,vr,.*LIV.*-U-.*-n5.*-CON
i_u_newspaper_6_p3_chair_liv_c,i_u_newspaper_6_p3_chair_liv_c,mean,vr,.*LIV.*-U-.*-n6.*-CON
i_d_duck_1_bath_shower_bat_c,i_d_duck_1_bath_shower_bat_c,mean,vr,.*BAT.*-D-.*-n1.*-CON
i_d_remote_2_p2_bath_bat_c,i_d_remote_2_p2_bath_bat_c,mean,vr,.*BAT.*-D-.*-n2.*-CON
i_d_tbrushes_3_p3_p4_bat_c,i_d_tbrushes_3_p3_p4_bat_c,mean,vr,.*BAT.*-D-.*-n3.*-CON
i_d_book_4_toilet_p3_bat_c,i_d_book_4_toilet_p3_bat_c,mean,vr,.*BAT.*-D-.*-n4.*-CON
i_d_hammer_5_sink_toilet_bat_c,i_d_hammer_5_sink_toilet_bat_c,mean,vr,.*BAT.*-D-.*-n5.*-CON
i_d_glasses_6_p1_sink_bat_c,i_d_glasses_6_p1_sink_bat_c,mean,vr,.*BAT.*-D-.*-n6.*-CON
i_d_alarm_1_bed_p4_bed_c,i_d_alarm_1_bed_p4_bed_c,mean,vr,.*BED.*-D-.*-n1.*-CON
i_d_magazine_2_dresser_bed_bed_c,i_d_magazine_2_dresser_bed_bed_c,mean,vr,.*BED.*-D-.*-n2.*-CON
i_d_picture_3_p1_dresser_bed_c,i_d_picture_3_p1_dresser_bed_c,mean,vr,.*BED.*-D-.*-n3.*-CON
i_d_frypan_4_bookshelf_wardrobe_bed_c,i_d_frypan_4_bookshelf_wardrobe_bed_c,mean,vr,.*BED.*-D-.*-n4.*-CON
i_d_phone_5_p4_p2_bed_c,i_d_phone_5_p4_p2_bed_c,mean,vr,.*BED.*-D-.*-n5.*-CON
i_d_knife_6_p3_bookshelf_bed_c,i_d_knife_6_p3_bookshelf_bed_c,mean,vr,.*BED.*-D-.*-n6.*-CON
i_d_letters_1_p2_fridge_kit_c,i_d_letters_1_p2_fridge_kit_c,mean,vr,.*KIT.*-D-.*-n1.*-CON
i_d_cutlery_2_oven_p2_kit_c,i_d_cutlery_2_oven_p2_kit_c,mean,vr,.*KIT.*-D-.*-n2.*-CON
