UID,test,composite_ID,TSVR_hours,z_theta_accuracy,z_theta_confidence,Calibration,Classification
A040,T1,A040_T1,1.0,-0.5435394729740699,0.0798908713325184,0.6234303443065884,Overconfident
A040,T2,A040_T2,26.26,0.143583521283235,0.4322084529914816,0.2886249317082466,Overconfident
A040,T3,A040_T3,71.28,-1.7892607874370556,-0.2277765567833082,1.5614842306537473,Overconfident
A040,T4,A040_T4,143.53,-1.7141541198621224,0.3825000591953116,2.0966541790574342,Overconfident
A041,T1,A041_T1,1.0,1.2607230958603317,1.4896638021441104,0.2289407062837787,Overconfident
A041,T2,A041_T2,31.78,-1.2498242464087106,0.760624665720656,2.0104489121293665,Overconfident
A041,T3,A041_T3,75.74,0.297735076965302,0.7986851611927338,0.5009500842274317,Overconfident
A041,T4,A041_T4,141.84,0.130167774792928,0.1174756756674228,-0.0126920991255052,Calibrated
A042,T1,A042_T1,1.0,-0.939411849606413,-0.3805803469059819,0.5588315027004311,Overconfident
A042,T2,A042_T2,28.93,-1.0579366022013394,-1.1778825262488843,-0.1199459240475449,Underconfident
A042,T3,A042_T3,72.17,-0.188113955003455,-0.4964275040631754,-0.3083135490597204,Underconfident
A042,T4,A042_T4,146.02,-1.3420256641944843,-0.3221374172329344,1.01988824696155,Overconfident
A043,T1,A043_T1,1.0,1.089811081137255,2.158078005668073,1.0682669245308178,Overconfident
A043,T2,A043_T2,25.62,0.5938296379421426,1.8486726683760129,1.2548430304338702,Overconfident
A043,T3,A043_T3,64.94,0.5962784052423202,1.0604697792762452,0.4641913740339249,Overconfident
A043,T4,A043_T4,149.33,-0.3954062706401479,0.1711083767758772,0.5665146474160252,Overconfident
A044,T1,A044_T1,1.0,-0.1006403785566512,-1.010918753733104,-0.9102783751764528,Underconfident
A044,T2,A044_T2,47.66,-0.4020322633644277,-0.7692469537117398,-0.3672146903473121,Underconfident
A044,T3,A044_T3,91.63,-1.3922429627521775,-1.283548181368935,0.1086947813832428,Overconfident
A044,T4,A044_T4,155.27,-1.9103321995494305,-2.1576170564016377,-0.2472848568522072,Underconfident
A045,T1,A045_T1,1.0,-0.961819749962723,-0.5540264954362101,0.4077932545265129,Overconfident
A045,T2,A045_T2,24.66,-1.081042640063007,-0.0565551114960194,1.0244875285669877,Overconfident
A045,T3,A045_T3,72.23,-1.1974849081406334,-0.9674988973066206,0.2299860108340127,Overconfident
A045,T4,A045_T4,151.52,-1.3282016856538623,-0.0895967358526991,1.238604949801163,Overconfident
A046,T1,A046_T1,1.0,-0.8209402327502409,-0.0650271093516516,0.7559131233985893,Overconfident
A046,T2,A046_T2,24.32,-1.3873262119974958,-0.8497065300263741,0.5376196819711218,Overconfident
A046,T3,A046_T3,73.05,-1.7271527783456555,-1.9250213229958024,-0.1978685446501467,Underconfident
A046,T4,A046_T4,147.94,-1.2296037461112923,-2.1620725694987595,-0.932468823387467,Underconfident
A047,T1,A047_T1,1.0,-0.7974739608510768,0.1267842098700459,0.9242581707211228,Overconfident
A047,T2,A047_T2,23.46,-0.5516529485859933,-0.3914359818145953,0.160216966771398,Overconfident
A047,T3,A047_T3,76.85,-1.3232231762554534,-1.7371703956073712,-0.4139472193519178,Underconfident
A047,T4,A047_T4,144.22,-1.701687666226082,-2.4418215193865005,-0.7401338531604185,Underconfident
A048,T1,A048_T1,1.0,1.1337538921706978,0.7754323421342828,-0.3583215500364149,Underconfident
A048,T2,A048_T2,23.91,-0.0703076153931472,0.3804777068431086,0.4507853222362559,Overconfident
A048,T3,A048_T3,81.15,0.1447536304202639,0.1832588445790534,0.0385052141587894,Calibrated
A048,T4,A048_T4,146.3,0.095300878448122,0.0358652113133984,-0.0594356671347235,Calibrated
A049,T1,A049_T1,1.0,2.2191979668010275,1.498609654527322,-0.7205883122737056,Underconfident
A049,T2,A049_T2,27.12,-0.5702145460347382,0.2835768893451197,0.8537914353798579,Overconfident
A049,T3,A049_T3,111.38,0.3940147368532242,0.901118915443492,0.5071041785902677,Overconfident
A049,T4,A049_T4,168.86,0.0296733639543957,0.1834416496875912,0.1537682857331954,Overconfident
A050,T1,A050_T1,1.0,-0.4289929516141503,0.6954187797514243,1.1244117313655746,Overconfident
A050,T2,A050_T2,24.73,-0.762615560292252,0.4013248449072347,1.1639404051994866,Overconfident
A050,T3,A050_T3,93.39,-0.9876791428232136,-0.5991545838335296,0.3885245589896838,Overconfident
