UID,test,composite_ID,TSVR_hours,z_theta_accuracy,z_theta_confidence,Calibration
A050,T3,A050_T3,93.39,-0.9876791428232136,-0.5991545838335296,0.1388527789102723
A050,T4,A050_T4,148.69,-1.2121901390949277,-0.4441963164972121,0.3147000650318754
A051,T1,A051_T1,1.0,1.6068883448238205,1.151168592861594,-0.1384950807450582
A051,T2,A051_T2,17.16,-0.3325452086387447,1.2465559191465323,0.7644671314072811
A051,T3,A051_T3,65.63,-0.6972526058451661,-0.1896017473992485,0.213673373964172
A051,T4,A051_T4,146.99,-0.7692662882537709,-0.1279099386271655,0.276018442556945
A052,T1,A052_T1,1.0,0.6127065434578783,0.5291626802067441,-0.008097534275503
A052,T2,A052_T2,31.76,0.4006917148866397,-0.147543942853208,-0.2499052137964336
A052,T3,A052_T3,80.98,0.116358450953461,-0.862375666556457,-0.478698838963432
A052,T4,A052_T4,153.27,-0.8871381894843241,-0.3035986244808949,0.2409597160296293
A053,T1,A053_T1,1.0,1.4785583323223055,1.060461752783437,-0.1268258355404613
A053,T2,A053_T2,32.71,1.0272958039812312,-1.1451638120927858,-1.0207499517688767
A053,T3,A053_T3,78.28,-0.4399891257994964,-1.8625095166155112,-0.7288627253468904
A053,T4,A053_T4,148.9,-0.150076499127309,-1.5811339875512067,-0.7173352000979584
A054,T1,A054_T1,1.0,0.5498365407540212,1.5616577532220426,0.5313065448229854
A054,T2,A054_T2,16.9,1.1861153703299228,0.9329386161428744,-0.0609935500913173
A054,T3,A054_T3,72.83,1.2551742459167592,0.8410474867123161,-0.1370005745105161
A054,T4,A054_T4,136.83,1.3030692923512968,1.2261707184656208,0.0327202531776587
A055,T1,A055_T1,1.0,0.2957569359541282,0.9726414893349964,0.3515141588022239
A055,T2,A055_T2,23.24,0.9095058203479244,-0.7026136473644404,-0.7494691015912749
A055,T3,A055_T3,74.48,-0.1334671697375182,-0.4797763481183404,-0.1788722919952214
A055,T4,A055_T4,149.21,-0.6634023436407634,-1.4525770987778257,-0.4271442712063199
A056,T1,A056_T1,1.0,0.5530252888945004,-0.3197762636122568,-0.4024676735991879
A056,T2,A056_T2,33.61,0.5758406585871718,-0.7035761325683199,-0.602730631198799
A056,T3,A056_T3,71.46,-0.4428776506600633,-0.1748579822237453,0.1087477859362411
A056,T4,A056_T4,147.84,-1.0170426766371687,-0.3769286859070387,0.2619349028961113
A057,T1,A057_T1,1.0,0.5174758271208859,0.3740475839907749,-0.0429502220496225
A057,T2,A057_T2,24.78,-0.826210225997846,0.1856378322802931,0.4565248924782403
A057,T3,A057_T3,73.83,-0.7283158900772994,0.0652939886622936,0.3536953722558522
A057,T4,A057_T4,145.06,-1.15885016249297,0.151213777541257,0.5862287418128435
A058,T1,A058_T1,1.0,1.0755864659061043,1.0857417817257615,0.06349604008931
